0.1,NDCG@10,HR@10,Short NDCG@10,Short HR@10,Long NDCG@10,Long HR@10,Tail NDCG@10,Tail HR@10,Popular NDCG@10,Popular HR@10
inter-0801013259,0.3887,0.6377,0.3921,0.6404,0.3753,0.6272,0.0308,0.0825,0.494,0.8011
inter-0801031841,0.3859,0.6331,0.3906,0.6373,0.3676,0.6168,0.0363,0.0926,0.4888,0.7922
inter-0801045956,0.38,0.6268,0.3848,0.631,0.3619,0.6109,0.0297,0.0747,0.4832,0.7894
Avg,0.3849,0.6325,0.3892,0.6363,0.3683,0.6183,0.0323,0.0832,0.4887,0.7943
,0.4222,0.6623,0.4247,0.6637,0.4127,0.6571,0.05,0.1227,0.5318,0.8212
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.05,NDCG@10,HR@10,Short NDCG@10,Short HR@10,Long NDCG@10,Long HR@10,Tail NDCG@10,Tail HR@10,Popular NDCG@10,Popular HR@10
inter-0801141336,0.3901,0.6382,0.3935,0.6418,0.377,0.6241,0.0366,0.0942,0.4941,0.7983
inter-0801151405,0.3923,0.6388,0.3956,0.6421,0.3799,0.6263,0.0383,0.0976,0.4966,0.7982
inter-0801162252,0.3864,0.6303,0.3885,0.632,0.3787,0.6238,0.0268,0.0719,0.4923,0.7947
Avg,0.3896,0.6358,0.3925,0.6386,0.3785,0.6247,0.0339,0.0879,0.4944,0.797
,0.4222,0.6623,0.4247,0.6637,0.4127,0.6571,0.05,0.1227,0.5318,0.8212
,,,,,,,,,,
,,,,,,,,,,
0.01,NDCG@10,HR@10,Short NDCG@10,Short HR@10,Long NDCG@10,Long HR@10,Tail NDCG@10,Tail HR@10,Popular NDCG@10,Popular HR@10
inter-0801104815,0.4054,0.6543,0.4082,0.6559,0.3949,0.6484,0.048,0.1225,0.5107,0.8109
inter-0801115955,0.4069,0.6511,0.4092,0.6512,0.3982,0.6508,0.044,0.1127,0.5137,0.8096
inter-0801125748,0.4021,0.6484,0.4056,0.6528,0.3885,0.6318,0.0363,0.0954,0.5098,0.8113
Avg,0.4048,0.6513,0.4076,0.6533,0.3939,0.6437,0.0427,0.1102,0.5114,0.8106
,0.4222,0.6623,0.4247,0.6637,0.4127,0.6571,0.05,0.1227,0.5318,0.8212
,,,,,,,,,,
,,,,,,,,,,
0.5,NDCG@10,HR@10,Short NDCG@10,Short HR@10,Long NDCG@10,Long HR@10,Tail NDCG@10,Tail HR@10,Popular NDCG@10,Popular HR@10
inter-0801184028,0.3814,0.6293,0.3850,0.6325,0.3675,0.6171,0.0256,0.0682,0.4861,0.7945
inter-0801193140,0.3713,0.6170,0.3759,0.6227,0.3535,0.5953,0.0282,0.0719,0.4723,0.7775
inter-0801202125,0.3767,0.6225,0.3798,0.6264,0.3647,0.6075,0.0356,0.0884,0.4771,0.7797
Avg ,0.3764,0.6229,0.3802,0.6272,0.3619,0.6066,0.0298,0.0762,0.4785,0.7839
,0.4222,0.6623,0.4247,0.6637,0.4127,0.6571,0.05,0.1227,0.5318,0.8212
,,,,,,,,,,
,,,,,,,,,,
1,NDCG@10,HR@10,Short NDCG@10,Short HR@10,Long NDCG@10,Long HR@10,Tail NDCG@10,Tail HR@10,Popular NDCG@10,Popular HR@10
inter-0802001618,0.3693,0.6166,0.3735,0.6214,0.3531,0.5983,0.0247,0.0677,0.4708,0.7782
inter-0802010226,0.3676,0.6128,0.3733,0.6182,0.3461,0.5922,0.0243,0.0632,0.4687,0.7747
inter-0802015150,0.3791,0.6258,0.3836,0.6295,0.3619,0.6115,0.0256,0.0696,0.4832,0.7895
Avg,0.3720,0.6184,0.3768,0.6230,0.3537,0.6007,0.0249,0.0668,0.4742,0.7808
,0.4222,0.6623,0.4247,0.6637,0.4127,0.6571,0.05,0.1227,0.5318,0.8212